City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atar,MR,86.02,clear sky,20.5169,-13.0499,Oumou Elghoura
10,Vanimo,PG,80.53,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
13,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
20,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Hirara,JP,84.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
40,Catuday,PH,80.87,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
42,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Wilmington,US,78.85,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
46,Alyangula,AU,82.72,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
50,Byron Bay,AU,80.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
53,Paredon,MX,84.49,few clouds,16.0333,-93.8667,Hotel Principal Paredon
60,Kavieng,PG,83.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
65,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
66,Fortuna,US,82.47,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
71,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
73,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
78,Gashua,NG,86.77,scattered clouds,12.871,11.0482,Forte Oil - Old Lorry Park
79,Kidal,ML,88.7,scattered clouds,18.4411,1.4078,
84,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Villa Enata
92,Sabang,ID,81.86,broken clouds,5.8933,95.3214,Hotel Citra
104,Kavaratti,IN,81.86,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
115,Sinnamary,GF,80.71,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
129,Labuhan,ID,78.46,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
131,Sao Filipe,CV,80.71,few clouds,14.8961,-24.4956,Hotel Xaguate
138,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
140,Bandarbeyla,SO,78.13,scattered clouds,9.4942,50.8122,JABIR HOTEL
141,Itupiranga,BR,78.55,overcast clouds,-5.1347,-49.3267,Hotel Panorama
146,Iracoubo,GF,81.61,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
154,Saint George,US,88.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Kieta,PG,83.82,light rain,-6.2167,155.6333,Uruna Bay Retreat
159,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
160,Porteirinha,BR,83.3,broken clouds,-15.7433,-43.0283,Portal Palace Hotel
167,Ugoofaaru,MV,82.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
178,Ambon,ID,84.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
181,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
188,Umm Lajj,SA,80.01,clear sky,25.0213,37.2685,Moon light Furnished Units
189,San Policarpo,PH,79.02,heavy intensity rain,12.1791,125.5072,Manong Aklan Resort
196,Akyab,MM,78.46,scattered clouds,20.15,92.9,Hotel Memory
198,Lakatoro,VU,83.08,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
202,High Rock,BS,78.82,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
203,Salina,US,78.93,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
206,Port Blair,IN,80.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
215,Faanui,PF,78.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
219,Puerto Escondido,MX,85.03,thunderstorm,15.85,-97.0667,Aldea del Bazar Hotel and Spa
222,Mulege,MX,89.58,few clouds,26.8833,-111.9833,Casa Granada
223,Montes Altos,BR,83.12,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
229,Canto Do Buriti,BR,87.15,scattered clouds,-8.11,-42.9444,Novo Hotel
243,Ishigaki,JP,84.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
246,Shimoda,JP,79.16,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
248,Nhamunda,BR,81.46,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
261,The Valley,AI,84.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
264,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
267,San Gabriel,US,88.48,broken clouds,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
268,Lorengau,PG,84.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
269,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
271,Vung Tau,VN,79.48,overcast clouds,10.346,107.0843,Green hotel
280,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
282,Hithadhoo,MV,83.93,few clouds,-0.6,73.0833,Scoop Guest House
284,Bubaque,GW,82.89,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
287,Acarau,BR,79.75,overcast clouds,-2.8856,-40.12,castelo pizzaria
291,Gigmoto,PH,79.16,moderate rain,13.7796,124.39,Cj's Travellers Inn
293,Xiongzhou,CN,81.84,clear sky,25.1167,114.3,Xinhewan Business Hotel
300,Gunjur,GM,82.47,scattered clouds,13.2019,-16.7339,Kuba Lodge
303,Qui Nhon,VN,78.64,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
306,Kushima,JP,80.64,broken clouds,31.4583,131.2333,Hanaoka
308,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
318,Thinadhoo,MV,83.86,broken clouds,0.5333,72.9333,
319,Kimbe,PG,88.61,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
324,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Villa Mar Colina
327,Porbandar,IN,81.1,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
331,Villa Union,MX,88.92,few clouds,23.2,-106.2333,My Fantasy Auto-Hotel
333,Itarema,BR,79.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
335,Bodden Town,KY,83.93,few clouds,19.2833,-81.25,Will T Place
336,San Patricio,US,85.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
337,Kulhudhuffushi,MV,81.03,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
339,Paciran,ID,78.57,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
341,Garango,BF,81.36,few clouds,11.8,-0.5506,La Case LAVAL-GARANGO
350,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
352,Pontian Kecil,MY,84.38,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
353,Avenal,US,88.11,overcast clouds,36.0041,-120.129,Lodge House Inn The
354,Hambantota,LK,79.27,heavy intensity rain,6.1241,81.1185,Bungalow 63
357,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
359,Auki,SB,86.0,broken clouds,-8.7676,160.7034,Auki Motel
362,Tucumcari,US,82.24,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
368,Agadez,NE,82.26,clear sky,19.75,10.25,
369,Makakilo City,US,83.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
373,Sorong,ID,81.34,broken clouds,-0.8833,131.25,waigo splash hotel
381,San Juan Del Sur,NI,81.46,broken clouds,11.2529,-85.8705,Nuestra Casa
384,Sarangani,PH,79.93,light rain,5.4033,125.4636,Ballistic Islet
391,Gladstone,AU,86.79,clear sky,-23.85,151.25,Highpoint International
396,Diebougou,BF,79.21,clear sky,10.9667,-3.25,Hotel Le Consulat
398,Camocim,BR,79.52,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
400,Gorontalo,ID,82.17,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
413,Waingapu,ID,80.58,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
415,Fernley,US,84.22,few clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
429,Catio,GW,78.94,light rain,11.2833,-15.25,Pausada Morabedja
430,Pak Thong Chai,TH,80.65,broken clouds,14.7226,102.0251,Mulberry House Korat
435,Itoman,JP,86.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
436,Tutoia,BR,80.24,broken clouds,-2.7619,-42.2744,Pousada Guará's
438,Bowen,AU,81.54,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
444,Truth Or Consequences,US,83.91,clear sky,33.1284,-107.2528,Charles Motel
445,Salinopolis,BR,81.05,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
448,Venice,US,82.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
454,Manokwari,ID,81.59,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
459,Kourou,GF,83.1,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
472,Puerto Cabezas,NI,79.18,scattered clouds,14.0351,-83.3888,Cabaña Caribe
474,Yangjiang,CN,79.39,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
484,Itaituba,BR,81.75,overcast clouds,-4.2761,-55.9836,Hotel Campos
485,Kadhan,PK,79.77,few clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
497,Curuca,BR,78.33,overcast clouds,-0.7289,-47.8481,Hotel Curuça
500,Carpinteria,US,88.18,overcast clouds,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
501,Jizan,SA,86.94,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
502,Mangawan,IN,78.13,clear sky,24.6833,81.55,भोलू ढाबा गोदरी 8
503,Sao Raimundo Das Mangabeiras,BR,87.91,overcast clouds,-7.0219,-45.4811,Hotel Tropical
504,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
509,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
511,Anloga,GH,79.79,broken clouds,5.7947,0.8973,Pin Drop Hotel
517,Nioro,GM,79.27,overcast clouds,13.35,-15.75,
518,Urucui,BR,87.87,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
523,Guarapari,BR,78.69,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
529,Monrovia,LR,78.31,light rain,6.3005,-10.7969,Sunset Inn
533,Oriximina,BR,80.65,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
537,Cockburn Town,TC,83.48,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
541,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
542,Brazzaville,CG,80.74,broken clouds,-4.2658,15.2832,Hotel Muesse
550,Princeton,US,83.01,few clouds,25.5384,-80.4089,American Best Inn
552,Kirakira,SB,85.03,broken clouds,-10.4544,161.9205,SanBiz Lodge
567,Miramar,US,83.01,clear sky,25.9873,-80.2323,Miramar
578,Galle,LK,78.28,heavy intensity rain,6.0367,80.217,Amangalla
587,Atambua,ID,81.95,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
595,Bonthe,SL,78.67,broken clouds,7.5264,-12.505,Bonthe Holiday Village
596,Sola,VU,86.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
603,Guerrero Negro,MX,78.1,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
605,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
606,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
607,Poya,NC,84.74,clear sky,-21.35,165.15,
609,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
614,Presidente Olegario,BR,79.27,broken clouds,-18.4178,-46.4181,Cruzeiro Hotel
626,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
627,Keti Bandar,PK,80.69,few clouds,24.1447,67.4497,Haji laloo memon house
631,San Antonio,US,85.21,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
633,Wanning,CN,80.2,heavy intensity rain,18.8003,110.3967,Paradise Hotel
643,Lompoc,US,84.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
649,Kaseda,JP,79.83,broken clouds,31.4167,130.3167,Sun Stay Kaseda
651,Aloleng,PH,82.53,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
654,Artesia,US,89.29,scattered clouds,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
655,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
660,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
662,Ocos,GT,85.32,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
664,Pacific Grove,US,88.81,clear sky,36.6177,-121.9166,Lovers Point Inn
669,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
672,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
675,Namatanai,PG,82.92,light rain,-3.6667,152.4333,Seagulls Inn Namatani
676,Zhangzhou,CN,85.14,clear sky,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
677,Wang Noi,TH,80.58,broken clouds,14.2269,100.7155,วังน้อยรีสอร์ท
678,Tuburan,PH,82.49,overcast clouds,6.6439,122.2736,GT Site
679,Coro,VE,81.16,broken clouds,11.4045,-69.6734,Federal
682,Lahij,YE,84.2,overcast clouds,13.1667,44.5833,
683,Fort Collins,US,79.45,clear sky,40.5853,-105.0844,Best Western University Inn
684,Kingsland,US,80.89,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
698,Fare,PF,78.89,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
699,Moussoro,TD,85.84,overcast clouds,13.6408,16.4901,Hôtel Maltina
